,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
2513,,MNIST,0.002,44.0,mnist_net_256x6.onnx,unsat,0.2015190124511718,754.0,44.0,bab,44.0 mnist_net_256x6.onnx 0.002,1,1,True
2515,,MNIST,0.002,44.0,mnist_nn.onnx,sat,0.1184043884277343,755.0,44.0,bab,44.0 mnist_nn.onnx 0.002,1,1,True
2516,,,0.002,44.0,mnist_nn.onnx,unsat,0.17,844.0,,eran,44.0 mnist_nn.onnx 0.002,1,1,True
2517,,MNIST,0.002,44.0,rsl18a_linf01.onnx,unsat,0.1147575378417968,764.0,44.0,bab,44.0 rsl18a_linf01.onnx 0.002,1,1,True
2518,,,0.002,44.0,rsl18a_linf01.onnx,unsat,0.195,144.0,,eran,44.0 rsl18a_linf01.onnx 0.002,1,1,True
5246,,MNIST,0.002,84.0,mnist_3_100.onnx,unsat,0.1056611537933349,1436.0,84.0,bab,84.0 mnist_3_100.onnx 0.002,1,1,True
2526,,,0.002,45.0,fc2.onnx,unsat,0.006,345.0,,eran,45.0 fc2.onnx 0.002,1,1,True
3986,,MNIST,0.002,66.0,mnist_3_100.onnx,unsat,0.11478853225708,1130.0,66.0,bab,66.0 mnist_3_100.onnx 0.002,1,1,True
5227,,MNIST,0.002,83.0,rsl18a_linf01.onnx,unsat,0.1221518516540527,1427.0,83.0,bab,83.0 rsl18a_linf01.onnx 0.002,1,1,True
5237,,,0.002,84.0,fc2.onnx,unsat,0.011,384.0,,eran,84.0 fc2.onnx 0.002,1,1,True
2537,,MNIST,0.002,45.0,mnist_3_100.onnx,unsat,0.1243884563446044,773.0,45.0,bab,45.0 mnist_3_100.onnx 0.002,1,1,True
4627,,,0.002,75.0,mnist_6_100.onnx,unsat/sat,1.3030118942260742,75.0,75.0,abcrown,75.0 mnist_6_100.onnx 0.002,1,1,True
2539,,MNIST,0.002,45.0,mnist_3_50.onnx,unsat,0.0916144847869873,774.0,45.0,bab,45.0 mnist_3_50.onnx 0.002,1,1,True
5235,,MNIST,0.002,84.0,fc2.onnx,sat,0.0543313026428222,1433.0,84.0,bab,84.0 fc2.onnx 0.002,1,1,True
2541,,MNIST,0.002,45.0,mnist_4_1024.onnx,unsat,0.5225419998168945,775.0,45.0,bab,45.0 mnist_4_1024.onnx 0.002,1,1,True
4628,,MNIST,0.002,75.0,mnist_6_100.onnx,unsat,0.133030891418457,1287.0,75.0,bab,75.0 mnist_6_100.onnx 0.002,1,1,True
2449,,MNIST,0.002,43.0,mnist_net_256x6.onnx,unsat,0.2501850128173828,737.0,43.0,bab,43.0 mnist_net_256x6.onnx 0.002,1,1,True
5274,,MNIST,0.002,84.0,mnist_net.onnx,unsat,0.1685888767242431,1429.0,84.0,bab,84.0 mnist_net.onnx 0.002,1,1,True
2805,,,0.002,49.0,mnist_9_100.onnx,unsat/sat,2.1507062911987305,249.0,249.0,abcrown,49.0 mnist_9_100.onnx 0.002,1,1,True
4007,,MNIST,0.002,66.0,mnist_9_200.onnx,unsat,0.2649712562561035,1137.0,66.0,bab,66.0 mnist_9_200.onnx 0.002,1,1,True
2362,,MNIST,0.002,42.0,mnist_6_200.onnx,unsat,0.1760618686676025,727.0,42.0,bab,42.0 mnist_6_200.onnx 0.002,1,1,True
2363,,,0.002,42.0,mnist_6_200.onnx,unsat/sat,1.3809728622436523,142.0,142.0,abcrown,42.0 mnist_6_200.onnx 0.002,1,1,True
2364,,MNIST,0.002,42.0,mnist_9_100.onnx,unsat,0.1596205234527588,728.0,42.0,bab,42.0 mnist_9_100.onnx 0.002,1,1,True
