,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
6789,,CIFAR,0.002,55.0,convMedGRELU__PGDK_w_0.0313.onnx,unsat,3.147648334503174,1595.0,55.0,bab,55.0 convMedGRELU__PGDK_w_0.0313.onnx 0.002,1,1,True
6788,,,0.002,55.0,convMedGRELU__PGDK_w_0.0078.onnx,unsat,8.58,2355.0,,eran,55.0 convMedGRELU__PGDK_w_0.0078.onnx 0.002,1,1,True
6787,,CIFAR,0.002,55.0,convMedGRELU__PGDK_w_0.0078.onnx,unsat,3.135829210281372,1593.0,55.0,bab,55.0 convMedGRELU__PGDK_w_0.0078.onnx 0.002,1,1,True
6785,,CIFAR,0.002,55.0,convBigRELU__PGD.onnx,unsat,98.18124294281006,1591.0,55.0,bab,55.0 convBigRELU__PGD.onnx 0.002,1,1,True
6823,,CIFAR,0.002,55.0,ffnnRELU__PGDK_w_0.0078_6_500.onnx,unsat,1.6938560009002686,1583.0,55.0,bab,55.0 ffnnRELU__PGDK_w_0.0078_6_500.onnx 0.002,1,1,True
11236,,CIFAR,0.002,86.0,cifar_6_100.onnx,sat,1.7066590785980225,2443.0,86.0,bab,86.0 cifar_6_100.onnx 0.002,1,1,True
6724,,CIFAR,0.002,55.0,cifar10_2_255.onnx,sat,47.60751056671143,1581.0,55.0,bab,55.0 cifar10_2_255.onnx 0.002,1,1,True
6862,,CIFAR,0.002,56.0,cifar10_8_255.onnx,sat,11.36036205291748,1640.0,56.0,bab,56.0 cifar10_8_255.onnx 0.002,1,1,True
6880,,CIFAR,0.002,56.0,cifar_6_100.onnx,sat,1.7320988178253174,1603.0,56.0,bab,56.0 cifar_6_100.onnx 0.002,1,1,True
11220,,,0.002,86.0,cifar10_8_255_simplified.onnx,unsat,16.68,286.0,,eran,86.0 cifar10_8_255_simplified.onnx 0.002,1,1,True
11221,,CIFAR,0.002,86.0,cifar10_8_255_simplified.onnx,unsat,11.445135831832886,2481.0,86.0,bab,86.0 cifar10_8_255_simplified.onnx 0.002,1,1,True
6877,,CIFAR,0.002,56.0,cifar_4_100.onnx,sat,1.682159185409546,1602.0,56.0,bab,56.0 cifar_4_100.onnx 0.002,1,1,True
6876,,,0.002,56.0,cifar_4_100.onnx,unsat,0.845,2256.0,,eran,56.0 cifar_4_100.onnx 0.002,1,1,True
6866,,CIFAR,0.002,56.0,cifar10_8_255_simplified.onnx,sat,11.044999599456789,1647.0,56.0,bab,56.0 cifar10_8_255_simplified.onnx 0.002,1,1,True
6865,,,0.002,56.0,cifar10_8_255_simplified.onnx,unsat,9.779,256.0,,eran,56.0 cifar10_8_255_simplified.onnx 0.002,1,1,True
6863,,,0.002,56.0,cifar10_8_255.onnx,unsat,9.977,2456.0,,eran,56.0 cifar10_8_255.onnx 0.002,1,1,True
11232,,CIFAR,0.002,86.0,cifar_4_100.onnx,sat,1.6831257343292236,2442.0,86.0,bab,86.0 cifar_4_100.onnx 0.002,1,1,True
6827,,CIFAR,0.002,55.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,unsat,1.533039093017578,1586.0,55.0,bab,55.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.002,1,1,True
6860,,,0.002,56.0,cifar10_2_255_simplified.onnx,unsat,54.582,1456.0,,eran,56.0 cifar10_2_255_simplified.onnx 0.002,1,1,True
6859,,CIFAR,0.002,56.0,cifar10_2_255_simplified.onnx,sat,47.56065464019776,1637.0,56.0,bab,56.0 cifar10_2_255_simplified.onnx 0.002,1,1,True
6857,,,0.002,56.0,cifar10_2_255.onnx,unsat,55.425,2856.0,,eran,56.0 cifar10_2_255.onnx 0.002,1,1,True
11234,,,0.002,86.0,cifar_4_100.onnx,unsat,0.429,2286.0,,eran,86.0 cifar_4_100.onnx 0.002,1,1,True
6855,,CIFAR,0.002,56.0,cifar10_2_255.onnx,sat,47.20838570594788,1634.0,56.0,bab,56.0 cifar10_2_255.onnx 0.002,1,1,True
6830,,,0.002,55.0,ffnnRELU__Point_6_500.onnx,sat,474.076,1855.0,,eran,55.0 ffnnRELU__Point_6_500.onnx 0.002,1,1,True
11235,,,0.002,86.0,cifar_6_100.onnx,unsat,0.501,386.0,,eran,86.0 cifar_6_100.onnx 0.002,1,1,True
6828,,CIFAR,0.002,55.0,ffnnRELU__Point_6_500.onnx,unsat,1.533729076385498,1589.0,55.0,bab,55.0 ffnnRELU__Point_6_500.onnx 0.002,1,1,True
11243,,CIFAR,0.002,86.0,cifar_9_200.onnx,sat,1.9593207836151123,2448.0,86.0,bab,86.0 cifar_9_200.onnx 0.002,1,1,True
6783,,,0.002,55.0,convBigRELU__PGD.onnx,unsat,67.421,855.0,,eran,55.0 convBigRELU__PGD.onnx 0.002,1,1,True
6779,,,0.002,55.0,cifar_wide_kw_simp.onnx,unsat,1.873,55.0,,eran,55.0 cifar_wide_kw_simp.onnx 0.002,1,1,True
11255,,,0.002,86.0,cifar_deep_kw.onnx,unsat/sat,0.0,286.0,286.0,abcrown,86.0 cifar_deep_kw.onnx 0.002,1,1,True
6752,,,0.002,55.0,cifar_7_1024.onnx,unsat,28.239,2755.0,,eran,55.0 cifar_7_1024.onnx 0.002,1,1,True
6751,,CIFAR,0.002,55.0,cifar_7_1024.onnx,sat,3.023820638656616,1576.0,55.0,bab,55.0 cifar_7_1024.onnx 0.002,1,1,True
11253,,CIFAR,0.002,86.0,cifar_deep_kw.onnx,unsat,4.221009016036986,2440.0,86.0,bab,86.0 cifar_deep_kw.onnx 0.002,1,1,True
11254,,,0.002,86.0,cifar_deep_kw.onnx,unsat,1.144,1086.0,,eran,86.0 cifar_deep_kw.onnx 0.002,1,1,True
6748,,CIFAR,0.002,55.0,cifar_6_100.onnx,sat,1.7055034637451172,1574.0,55.0,bab,55.0 cifar_6_100.onnx 0.002,1,1,True
6747,,,0.002,55.0,cifar_6_100.onnx,unsat,0.484,355.0,,eran,55.0 cifar_6_100.onnx 0.002,1,1,True
6746,,,0.002,55.0,cifar_4_100.onnx,unsat,0.319,2255.0,,eran,55.0 cifar_4_100.onnx 0.002,1,1,True
6745,,CIFAR,0.002,55.0,cifar_4_100.onnx,sat,1.705390214920044,1573.0,55.0,bab,55.0 cifar_4_100.onnx 0.002,1,1,True
6734,,,0.002,55.0,cifar10_8_255_simplified.onnx,unsat,15.663,255.0,,eran,55.0 cifar10_8_255_simplified.onnx 0.002,1,1,True
6778,,CIFAR,0.002,55.0,cifar_wide_kw_simp.onnx,sat,2.2667415142059326,1585.0,55.0,bab,55.0 cifar_wide_kw_simp.onnx 0.002,1,1,True
11256,,,0.002,86.0,cifar_deep_kw_simp.onnx,unsat,1.148,1986.0,,eran,86.0 cifar_deep_kw_simp.onnx 0.002,1,1,True
6732,,CIFAR,0.002,55.0,cifar10_8_255_simplified.onnx,sat,10.78115725517273,1590.0,55.0,bab,55.0 cifar10_8_255_simplified.onnx 0.002,1,1,True
6730,,CIFAR,0.002,55.0,cifar10_8_255.onnx,sat,11.1456880569458,1587.0,55.0,bab,55.0 cifar10_8_255.onnx 0.002,1,1,True
