,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
5809,,,0.002,92.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.826,492.0,,eran,92.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
5870,,,0.002,93.0,fc_2_2sigmoids_3.onnx,unsat,0.001,693.0,,eran,93.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
5872,,,0.002,93.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.663,493.0,,eran,93.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
5931,,,0.002,94.0,fc_2_2sigmoids_3.onnx,unsat,0.001,694.0,,eran,94.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
5934,,,0.002,94.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.677,494.0,,eran,94.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
5995,,,0.002,95.0,fc_2_2sigmoids_3.onnx,unsat,0.001,695.0,,eran,95.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
5999,,,0.002,95.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.751,495.0,,eran,95.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
6057,,,0.002,96.0,fc_2_2sigmoids_3.onnx,unsat,0.001,696.0,,eran,96.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
6061,,,0.002,96.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.717,496.0,,eran,96.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
6120,,,0.002,97.0,fc_2_2sigmoids_3.onnx,unsat,0.001,697.0,,eran,97.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
6123,,,0.002,97.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.746,497.0,,eran,97.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
6185,,,0.002,98.0,fc_2_2sigmoids_3.onnx,unsat,0.001,698.0,,eran,98.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
6186,,,0.002,98.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.716,498.0,,eran,98.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
6248,,,0.002,99.0,fc_2_2sigmoids_3.onnx,unsat,0.001,699.0,,eran,99.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
