,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
2937,,,0.002,29.0,cifar_conv_maxpool.onnx,unsat,20.605,3729.0,,eran,29.0 cifar_conv_maxpool.onnx 0.002,1,1,True
2806,,,0.002,28.0,cifar_conv_maxpool.onnx,unsat,484.078,3728.0,,eran,28.0 cifar_conv_maxpool.onnx 0.002,1,1,True
2673,,,0.002,27.0,cifar_conv_maxpool.onnx,unsat,506.01,3727.0,,eran,27.0 cifar_conv_maxpool.onnx 0.002,1,1,True
2543,,,0.002,26.0,cifar_conv_maxpool.onnx,unsat,23.326,3726.0,,eran,26.0 cifar_conv_maxpool.onnx 0.002,1,1,True
2410,,,0.002,25.0,cifar_conv_maxpool.onnx,unsat,28.461,3725.0,,eran,25.0 cifar_conv_maxpool.onnx 0.002,1,1,True
2279,,,0.002,24.0,cifar_conv_maxpool.onnx,unsat,611.773,3724.0,,eran,24.0 cifar_conv_maxpool.onnx 0.002,1,1,True
2145,,,0.002,23.0,cifar_conv_maxpool.onnx,unsat,464.74,3723.0,,eran,23.0 cifar_conv_maxpool.onnx 0.002,1,1,True
2013,,,0.002,22.0,cifar_conv_maxpool.onnx,unsat,21.896,3722.0,,eran,22.0 cifar_conv_maxpool.onnx 0.002,1,1,True
1887,,,0.002,21.0,cifar_conv_maxpool.onnx,unsat,528.046,3721.0,,eran,21.0 cifar_conv_maxpool.onnx 0.002,1,1,True
1757,,,0.002,20.0,cifar_conv_maxpool.onnx,unsat,472.255,3720.0,,eran,20.0 cifar_conv_maxpool.onnx 0.002,1,1,True
1624,,,0.002,2.0,cifar_conv_maxpool.onnx,unsat,22.001,3702.0,,eran,2.0 cifar_conv_maxpool.onnx 0.002,1,1,True
1491,,,0.002,19.0,cifar_conv_maxpool.onnx,unsat,579.773,3719.0,,eran,19.0 cifar_conv_maxpool.onnx 0.002,1,1,True
1360,,,0.002,18.0,cifar_conv_maxpool.onnx,unsat,535.049,3718.0,,eran,18.0 cifar_conv_maxpool.onnx 0.002,1,1,True
1229,,,0.002,17.0,cifar_conv_maxpool.onnx,unsat,23.938,3717.0,,eran,17.0 cifar_conv_maxpool.onnx 0.002,1,1,True
1097,,,0.002,16.0,cifar_conv_maxpool.onnx,unsat,470.15,3716.0,,eran,16.0 cifar_conv_maxpool.onnx 0.002,1,1,True
963,,,0.002,15.0,cifar_conv_maxpool.onnx,unsat,530.324,3715.0,,eran,15.0 cifar_conv_maxpool.onnx 0.002,1,1,True
831,,,0.002,14.0,cifar_conv_maxpool.onnx,unsat,500.875,3714.0,,eran,14.0 cifar_conv_maxpool.onnx 0.002,1,1,True
699,,,0.002,13.0,cifar_conv_maxpool.onnx,unsat,24.077,3713.0,,eran,13.0 cifar_conv_maxpool.onnx 0.002,1,1,True
569,,,0.002,12.0,cifar_conv_maxpool.onnx,unsat,23.772,3712.0,,eran,12.0 cifar_conv_maxpool.onnx 0.002,1,1,True
436,,,0.002,11.0,cifar_conv_maxpool.onnx,unsat,615.131,3711.0,,eran,11.0 cifar_conv_maxpool.onnx 0.002,1,1,True
303,,,0.002,10.0,cifar_conv_maxpool.onnx,unsat,554.335,3710.0,,eran,10.0 cifar_conv_maxpool.onnx 0.002,1,1,True
3070,,,0.002,3.0,cifar_conv_maxpool.onnx,unsat,25.964,3703.0,,eran,3.0 cifar_conv_maxpool.onnx 0.002,1,1,True
3334,,,0.002,31.0,cifar_conv_maxpool.onnx,unsat,534.485,3731.0,,eran,31.0 cifar_conv_maxpool.onnx 0.002,1,1,True
6366,,,0.002,52.0,cifar_conv_maxpool.onnx,unsat,596.896,3752.0,,eran,52.0 cifar_conv_maxpool.onnx 0.002,1,1,True
3465,,,0.002,32.0,cifar_conv_maxpool.onnx,unsat,25.186,3732.0,,eran,32.0 cifar_conv_maxpool.onnx 0.002,1,1,True
6234,,,0.002,51.0,cifar_conv_maxpool.onnx,unsat,24.558,3751.0,,eran,51.0 cifar_conv_maxpool.onnx 0.002,1,1,True
6104,,,0.002,50.0,cifar_conv_maxpool.onnx,unsat,498.873,3750.0,,eran,50.0 cifar_conv_maxpool.onnx 0.002,1,1,True
5971,,,0.002,5.0,cifar_conv_maxpool.onnx,unsat,23.384,3705.0,,eran,5.0 cifar_conv_maxpool.onnx 0.002,1,1,True
5838,,,0.002,49.0,cifar_conv_maxpool.onnx,unsat,28.19,3749.0,,eran,49.0 cifar_conv_maxpool.onnx 0.002,1,1,True
5710,,,0.002,48.0,cifar_conv_maxpool.onnx,unsat,612.92,3748.0,,eran,48.0 cifar_conv_maxpool.onnx 0.002,1,1,True
5579,,,0.002,47.0,cifar_conv_maxpool.onnx,unsat,562.618,3747.0,,eran,47.0 cifar_conv_maxpool.onnx 0.002,1,1,True
5445,,,0.002,46.0,cifar_conv_maxpool.onnx,unsat,586.87,3746.0,,eran,46.0 cifar_conv_maxpool.onnx 0.002,1,1,True
