,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
16297,,MNIST,0.012,42.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,672.0,42.0,abcrown,42.0 mnist_4_1024.onnx 0.012,0,0,False
42347,,MNIST,0.008,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1623.0,97.0,eran,97.0 mnist_3_50.onnx 0.008,0,0,False
42348,,MNIST,0.01,97.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1595.0,97.0,abcrown,97.0 mnist_3_50.onnx 0.01,0,0,False
637,,,0.008,1.0,mnist_6_100.onnx,time-out or unsolved,3600.0,1.0,1.0,eran,1.0 mnist_6_100.onnx 0.008,0,0,False
42540,,,0.002,97.0,mnist_net_256x2.onnx,time-out or unsolved,3600.0,797.0,,abcrown,97.0 mnist_net_256x2.onnx 0.002,0,0,False
16240,,MNIST,0.004,42.0,mnist_3_100.onnx,time-out or unsolved,3600.0,722.0,42.0,eran,42.0 mnist_3_100.onnx 0.004,0,0,False
42791,,MNIST,0.012,98.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1548.0,98.0,abcrown,98.0 mnist_3_50.onnx 0.012,0,0,False
42779,,MNIST,0.005,98.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1670.0,98.0,abcrown,98.0 mnist_3_50.onnx 0.005,0,0,False
42781,,MNIST,0.006,98.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1666.0,98.0,eran,98.0 mnist_3_50.onnx 0.006,0,0,False
42782,,MNIST,0.006,98.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1666.0,98.0,abcrown,98.0 mnist_3_50.onnx 0.006,0,0,False
541,,MNIST,0.002,1.0,mnist_3_100.onnx,time-out or unsolved,3600.0,25.0,1.0,abcrown,1.0 mnist_3_100.onnx 0.002,0,0,False
42784,,MNIST,0.008,98.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1640.0,98.0,abcrown,98.0 mnist_3_50.onnx 0.008,0,0,False
42785,,MNIST,0.008,98.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1640.0,98.0,eran,98.0 mnist_3_50.onnx 0.008,0,0,False
42786,,MNIST,0.01,98.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1611.0,98.0,abcrown,98.0 mnist_3_50.onnx 0.01,0,0,False
42787,,MNIST,0.01,98.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1611.0,98.0,eran,98.0 mnist_3_50.onnx 0.01,0,0,False
540,,MNIST,0.002,1.0,mnist_3_100.onnx,time-out or unsolved,3600.0,25.0,1.0,eran,1.0 mnist_3_100.onnx 0.002,0,0,False
497,,,0.012,1.0,fc2.onnx,time-out or unsolved,3600.0,301.0,,abcrown,1.0 fc2.onnx 0.012,0,0,False
42790,,MNIST,0.012,98.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1548.0,98.0,eran,98.0 mnist_3_50.onnx 0.012,0,0,False
16123,,,0.006,41.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,141.0,,abcrown,41.0 rsl18a_linf01.onnx 0.006,0,0,False
16120,,,0.005,41.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,141.0,,abcrown,41.0 rsl18a_linf01.onnx 0.005,0,0,False
42793,,MNIST,0.002,98.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1676.0,98.0,eran,98.0 mnist_4_1024.onnx 0.002,0,0,False
42794,,MNIST,0.002,98.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1676.0,98.0,abcrown,98.0 mnist_4_1024.onnx 0.002,0,0,False
42795,,MNIST,0.004,98.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1675.0,98.0,abcrown,98.0 mnist_4_1024.onnx 0.004,0,0,False
15680,,,0.012,40.0,mnist_nn.onnx,time-out or unsolved,3600.0,840.0,,abcrown,40.0 mnist_nn.onnx 0.012,0,0,False
42797,,MNIST,0.004,98.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1675.0,98.0,eran,98.0 mnist_4_1024.onnx 0.004,0,0,False
42798,,MNIST,0.005,98.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1671.0,98.0,abcrown,98.0 mnist_4_1024.onnx 0.005,0,0,False
42800,,MNIST,0.005,98.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1671.0,98.0,eran,98.0 mnist_4_1024.onnx 0.005,0,0,False
42801,,MNIST,0.006,98.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1667.0,98.0,abcrown,98.0 mnist_4_1024.onnx 0.006,0,0,False
493,,,0.01,1.0,fc2.onnx,time-out or unsolved,3600.0,301.0,,abcrown,1.0 fc2.onnx 0.01,0,0,False
42803,,MNIST,0.006,98.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1667.0,98.0,eran,98.0 mnist_4_1024.onnx 0.006,0,0,False
42804,,MNIST,0.008,98.0,mnist_4_1024.onnx,time-out or unsolved,3600.0,1641.0,98.0,abcrown,98.0 mnist_4_1024.onnx 0.008,0,0,False
42778,,MNIST,0.005,98.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1670.0,98.0,eran,98.0 mnist_3_50.onnx 0.005,0,0,False
543,,MNIST,0.004,1.0,mnist_3_100.onnx,time-out or unsolved,3600.0,25.0,1.0,abcrown,1.0 mnist_3_100.onnx 0.004,0,0,False
42776,,MNIST,0.004,98.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1674.0,98.0,eran,98.0 mnist_3_50.onnx 0.004,0,0,False
42775,,MNIST,0.004,98.0,mnist_3_50.onnx,time-out or unsolved,3600.0,1674.0,98.0,abcrown,98.0 mnist_3_50.onnx 0.004,0,0,False
42751,,MNIST,0.002,98.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1674.0,98.0,abcrown,98.0 mnist_3_100.onnx 0.002,0,0,False
42752,,MNIST,0.002,98.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1674.0,98.0,eran,98.0 mnist_3_100.onnx 0.002,0,0,False
42753,,MNIST,0.004,98.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1673.0,98.0,eran,98.0 mnist_3_100.onnx 0.004,0,0,False
551,,MNIST,0.006,1.0,mnist_3_100.onnx,time-out or unsolved,3600.0,25.0,1.0,abcrown,1.0 mnist_3_100.onnx 0.006,0,0,False
42755,,MNIST,0.004,98.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1673.0,98.0,abcrown,98.0 mnist_3_100.onnx 0.004,0,0,False
550,,MNIST,0.006,1.0,mnist_3_100.onnx,time-out or unsolved,3600.0,25.0,1.0,eran,1.0 mnist_3_100.onnx 0.006,0,0,False
42757,,MNIST,0.005,98.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1669.0,98.0,abcrown,98.0 mnist_3_100.onnx 0.005,0,0,False
42758,,MNIST,0.005,98.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1669.0,98.0,eran,98.0 mnist_3_100.onnx 0.005,0,0,False
16127,,,0.008,41.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,141.0,,abcrown,41.0 rsl18a_linf01.onnx 0.008,0,0,False
42760,,MNIST,0.006,98.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1665.0,98.0,eran,98.0 mnist_3_100.onnx 0.006,0,0,False
42761,,MNIST,0.006,98.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1665.0,98.0,abcrown,98.0 mnist_3_100.onnx 0.006,0,0,False
42762,,MNIST,0.008,98.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1639.0,98.0,eran,98.0 mnist_3_100.onnx 0.008,0,0,False
548,,MNIST,0.005,1.0,mnist_3_100.onnx,time-out or unsolved,3600.0,25.0,1.0,abcrown,1.0 mnist_3_100.onnx 0.005,0,0,False
42764,,MNIST,0.008,98.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1639.0,98.0,abcrown,98.0 mnist_3_100.onnx 0.008,0,0,False
15677,,,0.01,40.0,mnist_nn.onnx,time-out or unsolved,3600.0,840.0,,abcrown,40.0 mnist_nn.onnx 0.01,0,0,False
42766,,MNIST,0.01,98.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1610.0,98.0,eran,98.0 mnist_3_100.onnx 0.01,0,0,False
42767,,MNIST,0.01,98.0,mnist_3_100.onnx,time-out or unsolved,3600.0,1610.0,98.0,abcrown,98.0 mnist_3_100.onnx 0.01,0,0,False
