,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
4990,,mnist,0.012,N19,MNIST_P28_N19,unsat,50.5487,590.0,verinet,MNIST_P28_N19 N19 0.012,True,1,1
4984,,mnist,0.012,N12,MNIST_P3_N12,unsat,60.3977,584.0,verinet,MNIST_P3_N12 N12 0.012,True,1,1
4982,,mnist,0.012,N12,MNIST_P71_N12,unsat,63.0649,582.0,verinet,MNIST_P71_N12 N12 0.012,True,1,1
4973,,mnist,0.012,N22,MNIST_P88_N22,unsat,59.2741,573.0,verinet,MNIST_P88_N22 N22 0.012,True,1,1
5192,,mnist,0.012,N19,MNIST_P68_N19,unsat,47.9478,792.0,verinet,MNIST_P68_N19 N19 0.012,True,1,1
5195,,mnist,0.012,N33,MNIST_P74_N33,unsat,59.078,795.0,verinet,MNIST_P74_N33 N33 0.012,True,1,1
5391,,mnist,0.012,N33,MNIST_P53_N33,unsat,58.7747,991.0,verinet,MNIST_P53_N33 N33 0.012,True,1,1
5201,,mnist,0.012,N19,MNIST_P45_N19,unsat,48.12,801.0,verinet,MNIST_P45_N19 N19 0.012,True,1,1
5385,,mnist,0.012,N21,MNIST_P83_N21,unsat,51.9766,985.0,verinet,MNIST_P83_N21 N21 0.012,True,1,1
5380,,mnist,0.012,N22,MNIST_P19_N22,unsat,60.674,980.0,verinet,MNIST_P19_N22 N22 0.012,True,1,1
5373,,mnist,0.012,N22,MNIST_P10_N22,unsat,59.3874,973.0,verinet,MNIST_P10_N22 N22 0.012,True,1,1
5361,,mnist,0.012,N4,MNIST_P28_N4,unsat,50.8155,961.0,verinet,MNIST_P28_N4 N4 0.012,True,1,1
5354,,mnist,0.012,N4,MNIST_P85_N4,unsat,51.8583,954.0,verinet,MNIST_P85_N4 N4 0.012,True,1,1
5350,,mnist,0.012,N12,MNIST_P93_N12,unsat,58.543,950.0,verinet,MNIST_P93_N12 N12 0.012,True,1,1
5345,,mnist,0.012,N21,MNIST_P38_N21,sat,6.2516,945.0,verinet,MNIST_P38_N21 N21 0.012,True,1,1
5326,,mnist,0.012,N4,MNIST_P25_N4,unsat,49.9395,926.0,verinet,MNIST_P25_N4 N4 0.012,True,1,1
5325,,mnist,0.012,N4,MNIST_P88_N4,unsat,49.7396,925.0,verinet,MNIST_P88_N4 N4 0.012,True,1,1
5323,,mnist,0.012,N33,MNIST_P45_N33,unsat,60.1562,923.0,verinet,MNIST_P45_N33 N33 0.012,True,1,1
5305,,mnist,0.012,N19,MNIST_P14_N19,unsat,52.2672,905.0,verinet,MNIST_P14_N19 N19 0.012,True,1,1
5292,,mnist,0.012,N33,MNIST_P8_N33,unsat,60.4148,892.0,verinet,MNIST_P8_N33 N33 0.012,True,1,1
5280,,mnist,0.012,N33,MNIST_P17_N33,unsat,56.5859,880.0,verinet,MNIST_P17_N33 N33 0.012,True,1,1
5276,,mnist,0.012,N33,MNIST_P64_N33,unsat,57.892,876.0,verinet,MNIST_P64_N33 N33 0.012,True,1,1
5272,,mnist,0.012,N19,MNIST_P97_N19,unsat,50.7907,872.0,verinet,MNIST_P97_N19 N19 0.012,True,1,1
5264,,mnist,0.012,N4,MNIST_P26_N4,unsat,48.6008,864.0,verinet,MNIST_P26_N4 N4 0.012,True,1,1
5260,,mnist,0.012,N21,MNIST_P0_N21,unsat,47.8169,860.0,verinet,MNIST_P0_N21 N21 0.012,True,1,1
5257,,mnist,0.012,N33,MNIST_P65_N33,sat,27.1305,857.0,verinet,MNIST_P65_N33 N33 0.012,True,1,1
5254,,mnist,0.012,N19,MNIST_P72_N19,unsat,48.6384,854.0,verinet,MNIST_P72_N19 N19 0.012,True,1,1
5253,,mnist,0.012,N33,MNIST_P44_N33,sat,45.3279,853.0,verinet,MNIST_P44_N33 N33 0.012,True,1,1
5224,,mnist,0.012,N21,MNIST_P3_N21,unsat,50.147,824.0,verinet,MNIST_P3_N21 N21 0.012,True,1,1
5216,,mnist,0.012,N12,MNIST_P2_N12,unsat,56.1787,816.0,verinet,MNIST_P2_N12 N12 0.012,True,1,1
5203,,mnist,0.012,N19,MNIST_P56_N19,unsat,50.4207,803.0,verinet,MNIST_P56_N19 N19 0.012,True,1,1
5779,,mnist,0.012,N12,MNIST_P87_N12,unsat,59.7172,1379.0,verinet,MNIST_P87_N12 N12 0.012,True,1,1
5780,,mnist,0.012,N33,MNIST_P58_N33,unsat,60.1639,1380.0,verinet,MNIST_P58_N33 N33 0.012,True,1,1
5783,,mnist,0.012,N4,MNIST_P55_N4,unsat,52.9111,1383.0,verinet,MNIST_P55_N4 N4 0.012,True,1,1
6521,,mnist,0.012,N12,MNIST_P4_N12,unsat,59.1126,2121.0,verinet,MNIST_P4_N12 N12 0.012,True,1,1
6507,,mnist,0.012,N21,MNIST_P60_N21,unsat,51.3098,2107.0,verinet,MNIST_P60_N21 N21 0.012,True,1,1
