,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
4915,,mnist,0.004,N26,MNIST_P53_N26,unsat,10.3258,515.0,marabou,MNIST_P53_N26 N26 0.004,True,1,1
6062,,mnist,0.006,N17,MNIST_P45_N17,unsat,54.7762,1662.0,marabou,MNIST_P45_N17 N17 0.006,True,1,1
4813,,mnist,0.004,N17,MNIST_P53_N17,unsat,54.2126,413.0,marabou,MNIST_P53_N17 N17 0.004,True,1,1
4050,,mnist,0.002,N3,MNIST_P97_N3,unsat,47.1464,4050.0,marabou,MNIST_P97_N3 N3 0.002,True,1,1
6071,,mnist,0.006,N17,MNIST_P81_N17,unsat,54.3934,1671.0,marabou,MNIST_P81_N17 N17 0.006,True,1,1
5734,,mnist,0.006,N17,MNIST_P14_N17,unsat,56.0313,1334.0,marabou,MNIST_P14_N17 N17 0.006,True,1,1
9264,,mnist,0.005,N17,MNIST_P13_N17,unsat,54.6665,464.0,marabou,MNIST_P13_N17 N17 0.005,True,1,1
12534,,mnist,0.005,N17,MNIST_P99_N17,unsat,54.7197,3734.0,marabou,MNIST_P99_N17 N17 0.005,True,1,1
4639,,mnist,0.004,N17,MNIST_P67_N17,unsat,55.1297,239.0,marabou,MNIST_P67_N17 N17 0.004,True,1,1
5583,,mnist,0.006,N17,MNIST_P77_N17,unsat,54.3348,1183.0,marabou,MNIST_P77_N17 N17 0.006,True,1,1
5600,,mnist,0.006,N17,MNIST_P46_N17,unsat,54.2907,1200.0,marabou,MNIST_P46_N17 N17 0.006,True,1,1
4119,,mnist,0.002,N17,MNIST_P77_N17,unsat,54.0408,4119.0,marabou,MNIST_P77_N17 N17 0.002,True,1,1
5620,,mnist,0.006,N17,MNIST_P28_N17,unsat,54.5238,1220.0,marabou,MNIST_P28_N17 N17 0.006,True,1,1
5633,,mnist,0.006,N17,MNIST_P10_N17,unsat,55.4734,1233.0,marabou,MNIST_P10_N17 N17 0.006,True,1,1
4673,,mnist,0.004,N17,MNIST_P49_N17,unsat,61.4604,273.0,marabou,MNIST_P49_N17 N17 0.004,True,1,1
4109,,mnist,0.002,N17,MNIST_P11_N17,unsat,53.2616,4109.0,marabou,MNIST_P11_N17 N17 0.002,True,1,1
5682,,mnist,0.006,N17,MNIST_P93_N17,unsat,55.5969,1282.0,marabou,MNIST_P93_N17 N17 0.006,True,1,1
4084,,mnist,0.002,N17,MNIST_P95_N17,unsat,52.4401,4084.0,marabou,MNIST_P95_N17 N17 0.002,True,1,1
4056,,mnist,0.002,N26,MNIST_P43_N26,unsat,10.5895,4056.0,marabou,MNIST_P43_N26 N26 0.002,True,1,1
4053,,mnist,0.002,N17,MNIST_P19_N17,unsat,55.0601,4053.0,marabou,MNIST_P19_N17 N17 0.002,True,1,1
4729,,mnist,0.004,N17,MNIST_P47_N17,unsat,61.2239,329.0,marabou,MNIST_P47_N17 N17 0.004,True,1,1
3982,,mnist,0.002,N17,MNIST_P80_N17,unsat,53.2498,3982.0,marabou,MNIST_P80_N17 N17 0.002,True,1,1
