,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
6215,,mnist,0.02,N48,MNIST_P67_N48,outofmemory,3600.0,1815.0,marabou,MNIST_P67_N48 N48 0.02,False,0,0
6211,,mnist,0.02,N5,MNIST_P85_N5,timeout,3600.0,1811.0,marabou,MNIST_P85_N5 N5 0.02,False,0,0
6207,,mnist,0.02,N14,MNIST_P36_N14,outofmemory,3600.0,1807.0,marabou,MNIST_P36_N14 N14 0.02,False,0,0
6204,,mnist,0.02,N15,MNIST_P43_N15,outofmemory,3600.0,1804.0,marabou,MNIST_P43_N15 N15 0.02,False,0,0
6201,,mnist,0.02,N48,MNIST_P15_N48,outofmemory,3600.0,1801.0,marabou,MNIST_P15_N48 N48 0.02,False,0,0
6196,,mnist,0.02,N5,MNIST_P82_N5,timeout,3600.0,1796.0,marabou,MNIST_P82_N5 N5 0.02,False,0,0
6190,,mnist,0.02,N5,MNIST_P52_N5,timeout,3600.0,1790.0,marabou,MNIST_P52_N5 N5 0.02,False,0,0
6185,,mnist,0.02,N49,MNIST_P8_N49,outofmemory,3600.0,1785.0,marabou,MNIST_P8_N49 N49 0.02,False,0,0
6180,,mnist,0.02,N14,MNIST_P71_N14,outofmemory,3600.0,1780.0,marabou,MNIST_P71_N14 N14 0.02,False,0,0
6166,,mnist,0.02,N49,MNIST_P85_N49,outofmemory,3600.0,1766.0,marabou,MNIST_P85_N49 N49 0.02,False,0,0
6165,,mnist,0.02,N5,MNIST_P89_N5,timeout,3600.0,1765.0,marabou,MNIST_P89_N5 N5 0.02,False,0,0
6155,,mnist,0.02,N14,MNIST_P33_N14,outofmemory,3600.0,1755.0,marabou,MNIST_P33_N14 N14 0.02,False,0,0
6151,,mnist,0.02,N14,MNIST_P64_N14,outofmemory,3600.0,1751.0,marabou,MNIST_P64_N14 N14 0.02,False,0,0
6138,,mnist,0.02,N49,MNIST_P48_N49,outofmemory,3600.0,1738.0,marabou,MNIST_P48_N49 N49 0.02,False,0,0
